Vértice,X,Y,Z
184,7.3137,9.1786,0.0000
185,7.4067,9.3723,0.0000
186,7.4978,9.5581,0.0000
187,7.5870,9.7352,0.0000
188,7.6740,9.9029,0.0000
189,7.7588,10.0604,0.0000
190,7.8410,10.2069,0.0000
191,7.9206,10.3417,0.0000
192,7.9974,10.4640,0.0000
193,8.0711,10.5734,0.0000
194,8.1409,10.6713,0.0000
195,8.2057,10.7593,0.0000
196,8.2646,10.8393,0.0000
197,8.3166,10.9127,0.0000
198,8.3606,10.9814,0.0000
199,8.3958,11.0471,0.0000
200,8.4211,11.1114,0.0000
201,8.4354,11.1761,0.0000
202,8.4379,11.2429,0.0000
203,8.4276,11.3134,0.0000
204,8.4034,11.3894,0.0000
205,8.3191,11.5318,0.0000
206,8.1758,11.6959,0.0000
207,7.9826,11.8772,0.0000
208,7.7486,12.0711,0.0000
209,7.4831,12.2729,0.0000
210,7.1951,12.4781,0.0000
211,6.8938,12.6820,0.0000
212,6.5884,12.8802,0.0000
213,6.2881,13.0680,0.0000
214,6.0020,13.2408,0.0000
215,5.7393,13.3940,0.0000
216,5.5092,13.5231,0.0000
217,5.3792,13.5904,0.0000
218,5.2451,13.6526,0.0000
219,5.1078,13.7094,0.0000
220,4.9683,13.7605,0.0000
221,4.8276,13.8058,0.0000
222,4.6865,13.8451,0.0000
223,4.5462,13.8781,0.0000
224,4.4074,13.9046,0.0000
225,4.2713,13.9244,0.0000
226,4.1388,13.9374,0.0000
227,4.0108,13.9431,0.0000
228,3.8882,13.9416,0.0000
229,3.7718,13.9346,0.0000
230,3.6609,13.9245,0.0000
231,3.5547,13.9119,0.0000
232,3.4521,13.8972,0.0000
233,3.3523,13.8810,0.0000
234,3.2544,13.8638,0.0000
235,3.1575,13.8462,0.0000
236,3.0606,13.8286,0.0000
237,2.9628,13.8116,0.0000
238,2.8632,13.7958,0.0000
239,2.7609,13.7817,0.0000
240,2.6549,13.7697,0.0000
241,2.4419,13.7482,0.0000
242,2.2350,13.7265,0.0000
243,2.0341,13.7047,0.0000
244,1.8391,13.6831,0.0000
245,1.6497,13.6617,0.0000
246,1.4660,13.6408,0.0000
247,1.2877,13.6204,0.0000
248,1.1148,13.6006,0.0000
249,0.9470,13.5817,0.0000
250,0.7843,13.5638,0.0000
251,0.6266,13.5469,0.0000
