Vértice,X,Y,Z
184,7.5257,9.1786,0.0000
185,7.6159,9.3723,0.0000
186,7.7039,9.5581,0.0000
187,7.7895,9.7352,0.0000
188,7.8726,9.9029,0.0000
189,7.9532,10.0604,0.0000
190,8.0311,10.2069,0.0000
191,8.1063,10.3417,0.0000
192,8.1786,10.4640,0.0000
193,8.2478,10.5734,0.0000
194,8.3131,10.6713,0.0000
195,8.3736,10.7593,0.0000
196,8.4283,10.8393,0.0000
197,8.4764,10.9127,0.0000
198,8.5169,10.9814,0.0000
199,8.5488,11.0471,0.0000
200,8.5713,11.1114,0.0000
201,8.5835,11.1761,0.0000
202,8.5843,11.2429,0.0000
203,8.5728,11.3134,0.0000
204,8.5483,11.3894,0.0000
205,8.4612,11.5351,0.0000
206,8.3100,11.7085,0.0000
207,8.1049,11.9036,0.0000
208,7.8560,12.1149,0.0000
209,7.5735,12.3365,0.0000
210,7.2675,12.5626,0.0000
211,6.9483,12.7875,0.0000
212,6.6260,13.0055,0.0000
213,6.3107,13.2106,0.0000
214,6.0128,13.3973,0.0000
215,5.7422,13.5598,0.0000
216,5.5092,13.6921,0.0000
217,5.3802,13.7589,0.0000
218,5.2488,13.8193,0.0000
219,5.1157,13.8734,0.0000
220,4.9814,13.9212,0.0000
221,4.8465,13.9628,0.0000
222,4.7118,13.9980,0.0000
223,4.5777,14.0270,0.0000
224,4.4448,14.0498,0.0000
225,4.3139,14.0663,0.0000
226,4.1855,14.0765,0.0000
227,4.0602,14.0806,0.0000
228,3.9387,14.0784,0.0000
229,3.8207,14.0723,0.0000
230,3.7056,14.0649,0.0000
231,3.5929,14.0563,0.0000
232,3.4822,14.0466,0.0000
233,3.3733,14.0361,0.0000
234,3.2657,14.0249,0.0000
235,3.1590,14.0134,0.0000
236,3.0529,14.0015,0.0000
237,2.9471,13.9896,0.0000
238,2.8410,13.9778,0.0000
239,2.7345,13.9663,0.0000
240,2.6270,13.9552,0.0000
241,2.4139,13.9352,-0.0000
242,2.2066,13.9178,-0.0000
243,2.0052,13.9025,-0.0000
244,1.8095,13.8889,-0.0000
245,1.6195,13.8767,-0.0000
246,1.4350,13.8654,-0.0000
247,1.2559,13.8546,-0.0000
248,1.0823,13.8440,-0.0000
249,0.9139,13.8332,-0.0000
250,0.7507,13.8216,-0.0000
251,0.5926,13.8091,-0.0000
252,0.4396,13.7950,-0.0000
253,0.2388,13.7726,-0.0000
254,0.0309,13.7441,-0.0000
255,-0.1817,13.7097,-0.0000
256,-0.3964,13.6696,-0.0000
257,-0.6107,13.6239,-0.0000
258,-0.8220,13.5727,-0.0000
259,-1.0278,13.5163,-0.0000
260,-1.2255,13.4546,-0.0000
261,-1.4127,13.3879,-0.0000
262,-1.5868,13.3163,-0.0000
263,-1.7453,13.2400,-0.0000
264,-1.8855,13.1590,0.0000
265,-2.0282,13.0707,0.0000
266,-2.1943,12.9718,0.0000
267,-2.3821,12.8618,0.0000
268,-2.5896,12.7400,0.0000
269,-2.8150,12.6059,0.0000
270,-3.0564,12.4589,0.0000
271,-3.3120,12.2984,0.0000
272,-3.5799,12.1238,0.0000
273,-3.8582,11.9346,0.0000
274,-4.1452,11.7301,0.0000
275,-4.4388,11.5098,0.0000
276,-4.7374,11.2730,0.0000
277,-4.8837,11.1446,0.0000
278,-5.0255,11.0055,0.0000
279,-5.1663,10.8587,0.0000
280,-5.3096,10.7071,0.0000
281,-5.4587,10.5535,0.0000
282,-5.6171,10.4010,0.0000
283,-5.7883,10.2523,0.0000
284,-5.9758,10.1103,0.0000
285,-6.1829,9.9781,0.0000
286,-6.4132,9.8583,0.0000
287,-6.6700,9.7541,0.0000
288,-6.9569,9.6682,0.0000
289,-7.2824,9.5820,0.0000
290,-7.6465,9.4780,0.0000
291,-8.0396,9.3604,0.0000
292,-8.4522,9.2335,0.0000
