Object Name,X,Y,Z
Sphere.002,-21.957109451293945,16.192054748535156,0.021611861884593964
Sphere.005,-20.87667465209961,16.424301147460938,0.021611861884593964
Sphere.008,-19.72454071044922,16.282915115356445,0.021611861884593964
Sphere.011,-18.908411026000977,15.537517547607422,0.021611861884593964
Sphere.014,-18.141090393066406,14.763434410095215,0.021611861884593964
Sphere.017,-17.40662384033203,13.95721435546875,0.021611861884593964
Sphere.020,-16.713796615600586,13.112762451171875,0.021611861884593964
Sphere.023,-16.080068588256836,12.21823501586914,0.021611861884593964
Sphere.026,-15.528209686279297,11.275482177734375,0.021611861884593964
Sphere.029,-14.982149124145508,10.349822998046875,0.021611861884593964
Sphere.032,-14.315755844116211,9.542780876159668,0.021611861884593964
Sphere.035,-13.433496475219727,9.037055015563965,0.021611861884593964
Sphere.038,-12.407644271850586,8.935602188110352,0.021611861884593964
Sphere.041,-11.368276596069336,9.118664741516113,0.021611861884593964
Sphere.044,-10.352903366088867,9.454440116882324,0.021611861884593964
Sphere.047,-9.372446060180664,9.890957832336426,0.021611861884593964
Sphere.050,-8.406408309936523,10.375480651855469,0.021611861884593964
Sphere.053,-7.448793411254883,10.880675315856934,0.021611861884593964
Sphere.056,-6.495499610900879,11.395944595336914,0.021611861884593964
Sphere.059,-5.543034553527832,11.914652824401855,0.021611861884593964
Sphere.062,-4.588112831115723,12.430855751037598,0.021611861884593964
Sphere.065,-3.62631893157959,12.937065124511719,0.021611861884593964
Sphere.068,-2.6516220569610596,13.42091178894043,0.021611861884593964
Sphere.071,-1.6691296100616455,13.885186195373535,0.021611861884593964
Sphere.074,-0.6613038182258606,14.312361717224121,0.021611861884593964
Sphere.077,0.41747546195983887,14.588178634643555,0.021611861884593964
Sphere.080,1.5181148052215576,14.627670288085938,0.021611861884593964
Sphere.083,2.6037204265594482,14.61646842956543,0.021611861884593964
Sphere.086,3.6890993118286133,14.597359657287598,0.021611861884593964
Sphere.089,4.774426460266113,14.57007122039795,0.021611861884593964
Sphere.092,5.860014915466309,14.531723976135254,0.021611861884593964
Sphere.095,6.946511268615723,14.474159240722656,0.021611861884593964
Sphere.098,8.039595603942871,14.349322319030762,0.021611861884593964
Sphere.101,9.080057144165039,13.876604080200195,0.021611861884593964
Sphere.104,9.872503280639648,13.117236137390137,0.021611861884593964
Sphere.107,10.435853958129883,12.142101287841797,0.021611861884593964
Sphere.110,10.785364151000977,11.098523139953613,0.021611861884593964
Sphere.113,11.006765365600586,10.015725135803223,0.021611861884593964
Sphere.116,11.039022445678711,8.911940574645996,0.021611861884593964
Sphere.119,10.904050827026367,7.813767433166504,0.021611861884593964
Sphere.122,10.448751449584961,6.780630588531494,0.021611861884593964
Sphere.125,9.723325729370117,5.944861888885498,0.021611861884593964
Sphere.128,8.916509628295898,5.205747127532959,0.021611861884593964
Sphere.131,8.083630561828613,4.506908893585205,0.021611861884593964
Sphere.134,7.259238243103027,3.809168815612793,0.021611861884593964
Sphere.137,6.529244422912598,3.048207998275757,0.021611861884593964
Sphere.140,6.042176246643066,2.1233372688293457,0.021611861884593964
Sphere.143,5.605179786682129,1.0919219255447388,0.021611861884593964
Sphere.146,4.451264381408691,1.2106852531433105,0.021611861884593964
Sphere.149,4.45749568939209,2.3796777725219727,0.021611861884593964
Sphere.152,4.970183372497559,3.3507630825042725,0.021611861884593964
Sphere.155,5.430251121520996,4.298701286315918,0.021611861884593964
Sphere.158,5.680544853210449,5.338476657867432,0.021611861884593964
Sphere.161,5.940821647644043,6.4053449630737305,0.021611861884593964
Sphere.164,6.3525590896606445,7.427194118499756,0.021611861884593964
Sphere.167,6.825961112976074,8.40278434753418,0.021611861884593964
Sphere.170,7.280529975891113,9.38821792602539,0.021611861884593964
Sphere.173,7.776087760925293,10.3631591796875,0.021611861884593964
Sphere.176,8.364346504211426,11.263248443603516,0.021611861884593964
Sphere.179,7.969548225402832,12.005455017089844,0.021611861884593964
Sphere.182,7.118165016174316,12.649782180786133,0.021611861884593964
Sphere.185,6.212532997131348,13.23302173614502,0.021611861884593964
Sphere.188,5.281527519226074,13.753242492675781,0.021611861884593964
Sphere.191,4.280606269836426,14.030766487121582,0.021611861884593964
Sphere.194,3.242304563522339,13.953685760498047,0.021611861884593964
Sphere.197,2.15741229057312,13.814820289611816,0.021611861884593964
Sphere.200,1.0801246166229248,13.693190574645996,0.021611861884593964
Sphere.203,0.0038230419158935547,13.575818061828613,0.021611861884593964
Sphere.206,-1.0421116352081299,13.38101577758789,0.021611861884593964
Sphere.209,-1.9831421375274658,12.933640480041504,0.021611861884593964
Sphere.212,-2.9022419452667236,12.36486530303955,0.021611861884593964
Sphere.215,-3.790226936340332,11.756221771240234,0.021611861884593964
Sphere.218,-4.6282148361206055,11.093977928161621,0.021611861884593964
Sphere.221,-5.3916425704956055,10.323820114135742,0.021611861884593964
Sphere.224,-6.321368217468262,9.691686630249023,0.021611861884593964
Sphere.227,-7.374521255493164,9.36561393737793,0.021611861884593964
Sphere.230,-8.411666870117188,9.05745792388916,0.021611861884593964
Sphere.233,-9.449119567871094,8.740385055541992,0.021611861884593964
Sphere.236,-10.494081497192383,8.435975074768066,0.021611861884593964
Sphere.239,-11.444557189941406,8.12673282623291,0.021611861884593964
Sphere.242,-11.818462371826172,7.196093559265137,0.021611861884593964
Sphere.245,-12.121976852416992,6.139798641204834,0.021611861884593964
Sphere.248,-12.755725860595703,5.177499294281006,0.021611861884593964
Sphere.251,-13.869546890258789,4.928460597991943,0.021611861884593964
Sphere.254,-14.955366134643555,5.329370498657227,0.021611861884593964
Sphere.257,-15.497684478759766,6.299088001251221,0.021611861884593964
Sphere.260,-15.995550155639648,7.266633033752441,0.021611861884593964
Sphere.263,-16.38597297668457,8.295316696166992,0.021611861884593964
Sphere.266,-16.795886993408203,9.267593383789062,0.021611861884593964
Sphere.269,-17.501522064208984,9.879021644592285,0.021611861884593964
Sphere.272,-18.498388290405273,9.711563110351562,0.021611861884593964
Sphere.275,-19.558897018432617,9.422724723815918,0.021611861884593964
Sphere.278,-20.662446975708008,9.322230339050293,0.021611861884593964
Sphere.281,-21.76142692565918,9.384429931640625,0.021611861884593964
Sphere.284,-22.84084129333496,9.835810661315918,0.021611861884593964
Sphere.287,-22.861927032470703,10.980396270751953,0.021611861884593964
Sphere.290,-22.906461715698242,12.034486770629883,0.021611861884593964
Sphere.293,-22.987356185913086,13.127274513244629,0.021611861884593964
Sphere.296,-22.942983627319336,14.226890563964844,0.021611861884593964
Sphere.299,-22.72724723815918,15.319559097290039,0.021611861884593964
Sphere.302,-21.957109451293945,16.192054748535156,0.021611861884593964
