Object Name,X,Y,Z,Dist_X,Dist_Y,Dist_Z
Sphere.002,-21.87000846862793,16.111053466796875,0.06576830893754959,21.87000846862793,16.111053466796875,0.06576830893754959
Sphere.005,-20.7872257232666,16.300445556640625,0.06576830893754959,20.7872257232666,16.300445556640625,0.06576830893754959
Sphere.008,-19.69071388244629,16.126575469970703,0.06576830893754959,19.69071388244629,16.126575469970703,0.06576830893754959
Sphere.011,-18.836977005004883,15.432975769042969,0.06576830893754959,18.836977005004883,15.432975769042969,0.06576830893754959
Sphere.014,-18.083471298217773,14.671783447265625,0.06576830893754959,18.083471298217773,14.671783447265625,0.06576830893754959
Sphere.017,-17.363611221313477,13.878464698791504,0.06576830893754959,17.363611221313477,13.878464698791504,0.06576830893754959
Sphere.020,-16.685096740722656,13.047431945800781,0.06576830893754959,16.685096740722656,13.047431945800781,0.06576830893754959
Sphere.023,-16.064510345458984,12.169894218444824,0.06576830893754959,16.064510345458984,12.169894218444824,0.06576830893754959
Sphere.026,-15.512311935424805,11.252690315246582,0.06576830893754959,15.512311935424805,11.252690315246582,0.06576830893754959
Sphere.029,-14.96214485168457,10.35122013092041,0.06576830893754959,14.96214485168457,10.35122013092041,0.06576830893754959
Sphere.032,-14.294366836547852,9.556092262268066,0.06576830893754959,14.294366836547852,9.556092262268066,0.06576830893754959
Sphere.035,-13.424442291259766,9.03376293182373,0.06576830893754959,13.424442291259766,9.03376293182373,0.06576830893754959
Sphere.038,-12.417655944824219,8.888209342956543,0.06576830893754959,12.417655944824219,8.888209342956543,0.06576830893754959
Sphere.041,-11.390584945678711,9.032092094421387,0.06576830893754959,11.390584945678711,9.032092094421387,0.06576830893754959
Sphere.044,-10.387474060058594,9.342455863952637,0.06576830893754959,10.387474060058594,9.342455863952637,0.06576830893754959
Sphere.047,-9.415689468383789,9.756143569946289,0.06576830893754959,9.415689468383789,9.756143569946289,0.06576830893754959
Sphere.050,-8.462961196899414,10.224122047424316,0.06576830893754959,8.462961196899414,10.224122047424316,0.06576830893754959
Sphere.053,-7.520064353942871,10.716796875,0.06576830893754959,7.520064353942871,10.716796875,0.06576830893754959
Sphere.056,-6.582084655761719,11.22116470336914,0.06576830893754959,6.582084655761719,11.22116470336914,0.06576830893754959
Sphere.059,-5.645776748657227,11.72999095916748,0.06576830893754959,5.645776748657227,11.72999095916748,0.06576830893754959
Sphere.062,-4.7078399658203125,12.237459182739258,0.06576830893754959,4.7078399658203125,12.237459182739258,0.06576830893754959
Sphere.065,-3.764280319213867,12.73668384552002,0.06576830893754959,3.764280319213867,12.73668384552002,0.06576830893754959
Sphere.068,-2.8101577758789062,13.217561721801758,0.06576830893754959,2.8101577758789062,13.217561721801758,0.06576830893754959
Sphere.071,-1.8460426330566406,13.678627967834473,0.06576830893754959,1.8460426330566406,13.678627967834473,0.06576830893754959
Sphere.074,-0.8613930940628052,14.106647491455078,0.06576830893754959,0.8613930940628052,14.106647491455078,0.06576830893754959
Sphere.077,0.17643725872039795,14.420634269714355,0.06576830893754959,0.17643725872039795,14.420634269714355,0.06576830893754959
Sphere.080,1.2549418210983276,14.533085823059082,0.06576830893754959,1.2549418210983276,14.533085823059082,0.06576830893754959
Sphere.083,2.3248138427734375,14.538151741027832,0.06576830893754959,2.3248138427734375,14.538151741027832,0.06576830893754959
Sphere.086,3.391368865966797,14.521960258483887,0.06576830893754959,3.391368865966797,14.521960258483887,0.06576830893754959
Sphere.089,4.457841873168945,14.497936248779297,0.06576830893754959,4.457841873168945,14.497936248779297,0.06576830893754959
Sphere.092,5.5244293212890625,14.464194297790527,0.06576830893754959,5.5244293212890625,14.464194297790527,0.06576830893754959
Sphere.095,6.59178352355957,14.414644241333008,0.06576830893754959,6.59178352355957,14.414644241333008,0.06576830893754959
Sphere.098,7.663698196411133,14.317634582519531,0.06576830893754959,7.663698196411133,14.317634582519531,0.06576830893754959
Sphere.101,8.713447570800781,13.995100021362305,0.06576830893754959,8.713447570800781,13.995100021362305,0.06576830893754959
Sphere.104,9.601997375488281,13.347607612609863,0.06576830893754959,9.601997375488281,13.347607612609863,0.06576830893754959
Sphere.107,10.251617431640625,12.466954231262207,0.06576830893754959,10.251617431640625,12.466954231262207,0.06576830893754959
Sphere.110,10.677631378173828,11.467681884765625,0.06576830893754959,10.677631378173828,11.467681884765625,0.06576830893754959
Sphere.113,10.946495056152344,10.421541213989258,0.06576830893754959,10.946495056152344,10.421541213989258,0.06576830893754959
Sphere.116,11.056964874267578,9.342702865600586,0.06576830893754959,11.056964874267578,9.342702865600586,0.06576830893754959
Sphere.119,10.995563507080078,8.26195240020752,0.06576830893754959,10.995563507080078,8.26195240020752,0.06576830893754959
Sphere.122,10.684524536132812,7.208341598510742,0.06576830893754959,10.684524536132812,7.208341598510742,0.06576830893754959
Sphere.125,10.079948425292969,6.2962236404418945,0.06576830893754959,10.079948425292969,6.2962236404418945,0.06576830893754959
Sphere.128,9.323318481445312,5.5298004150390625,0.06576830893754959,9.323318481445312,5.5298004150390625,0.06576830893754959
Sphere.131,8.516769409179688,4.825392723083496,0.06576830893754959,8.516769409179688,4.825392723083496,0.06576830893754959
Sphere.134,7.702228546142578,4.138792514801025,0.06576830893754959,7.702228546142578,4.138792514801025,0.06576830893754959
Sphere.137,6.935699462890625,3.4166922569274902,0.06576830893754959,6.935699462890625,3.4166922569274902,0.06576830893754959
Sphere.140,6.331747055053711,2.5826797485351562,0.06576830893754959,6.331747055053711,2.5826797485351562,0.06576830893754959
Sphere.143,5.879486083984375,1.6295099258422852,0.06576830893754959,5.879486083984375,1.6295099258422852,0.06576830893754959
Sphere.146,4.875165939331055,1.165088176727295,0.06576830893754959,4.875165939331055,1.165088176727295,0.06576830893754959
Sphere.149,4.614622116088867,2.257232904434204,0.06576830893754959,4.614622116088867,2.257232904434204,0.06576830893754959
Sphere.152,5.056436538696289,3.2500760555267334,0.06576830893754959,5.056436538696289,3.2500760555267334,0.06576830893754959
Sphere.155,5.499488830566406,4.202630996704102,0.06576830893754959,5.499488830566406,4.202630996704102,0.06576830893754959
Sphere.158,5.779975891113281,5.217109680175781,0.06576830893754959,5.779975891113281,5.217109680175781,0.06576830893754959
Sphere.161,6.046276092529297,6.25567626953125,0.06576830893754959,6.046276092529297,6.25567626953125,0.06576830893754959
Sphere.164,6.429840087890625,7.26399040222168,0.06576830893754959,6.429840087890625,7.26399040222168,0.06576830893754959
Sphere.167,6.883359909057617,8.233019828796387,0.06576830893754959,6.883359909057617,8.233019828796387,0.06576830893754959
Sphere.170,7.336057662963867,9.198175430297852,0.06576830893754959,7.336057662963867,9.198175430297852,0.06576830893754959
Sphere.173,7.821321487426758,10.155400276184082,0.06576830893754959,7.821321487426758,10.155400276184082,0.06576830893754959
Sphere.176,8.321338653564453,11.054890632629395,0.06576830893754959,8.321338653564453,11.054890632629395,0.06576830893754959
Sphere.179,8.044601440429688,11.93453598022461,0.06576830893754959,8.044601440429688,11.93453598022461,0.06576830893754959
